P1_WINS,MINUTES,T_NAME,SURFACE,P1_NAME,P2_NAME,P1_RANK,P2_RANK,T_DATE,P1_AGE,P2_AGE
0,120.0,Madrid Masters,Clay,Albert Montanes,Jurgen Melzer,28,27,2009-05-10,28,27
1,92.0,Madrid Masters,Clay,Philipp Kohlschreiber,Nicolas Almagro,35,34,2009-05-10,25,23
1,149.0,Madrid Masters,Clay,Marin Cilic,Marcel Granollers,14,90,2009-05-10,20,23
0,84.0,Madrid Masters,Clay,Guillermo Canas,David Ferrer,108,13,2009-05-10,31,27
0,130.0,Madrid Masters,Clay,Feliciano Lopez,Juan Monaco,32,47,2009-05-10,27,25
0,131.0,Madrid Masters,Clay,Igor Kunitsyn,Juan Carlos Ferrero,39,115,2009-05-10,27,29
1,91.0,Madrid Masters,Clay,Oscar Hernandez,Martin Vassallo Arguello,65,49,2009-05-10,31,29
1,107.0,Madrid Masters,Clay,Andreas Seppi,Eduardo Schwank,36,68,2009-05-10,25,23
1,90.0,Madrid Masters,Clay,Jo-Wilfried Tsonga,Marat Safin,9,20,2009-05-10,24,29
1,68.0,Madrid Masters,Clay,Ivan Ljubicic,Teymuraz Gabashvili,54,78,2009-05-10,30,23
0,109.0,Madrid Masters,Clay,Guillermo Garcia Lopez,Tomas Berdych,77,22,2009-05-10,25,23
1,65.0,Madrid Masters,Clay,Jeremy Chardy,Jose Acasuso,40,44,2009-05-10,22,26
0,59.0,Madrid Masters,Clay,Marco Crugnola,Stan Wawrinka,188,18,2009-05-10,25,24
0,119.0,Madrid Masters,Clay,Nicolas Kiefer,Tommy Robredo,29,17,2009-05-10,31,27
1,125.0,Madrid Masters,Clay,Mardy Fish,Janko Tipsarevic,26,62,2009-05-10,27,24
0,117.0,Madrid Masters,Clay,Juan Ignacio Chela,Simone Bolelli,197,61,2009-05-10,29,23
0,138.0,Madrid Masters,Clay,Ernests Gulbis,Tommy Haas,42,75,2009-05-10,20,31
0,64.0,Madrid Masters,Clay,Rainer Schuettler,Florent Serra,31,51,2009-05-10,33,28
0,79.0,Madrid Masters,Clay,Viktor Troicki,Nikolay Davydenko,41,11,2009-05-10,23,27
0,68.0,Madrid Masters,Clay,Victor Hanescu,James Blake,33,16,2009-05-10,27,29
0,132.0,Madrid Masters,Clay,Julien Benneteau,Ivo Karlovic,45,25,2009-05-10,27,30
1,71.0,Madrid Masters,Clay,Robin Soderling,Ivan Navarro,23,84,2009-05-10,24,27
1,62.0,Madrid Masters,Clay,Rafael Nadal,Jurgen Melzer,1,27,2009-05-10,22,27
0,175.0,Madrid Masters,Clay,Marin Cilic,Philipp Kohlschreiber,14,35,2009-05-10,20,25
0,90.0,Madrid Masters,Clay,David Ferrer,Juan Monaco,13,47,2009-05-10,27,25
0,96.0,Madrid Masters,Clay,Juan Carlos Ferrero,Fernando Verdasco,115,8,2009-05-10,29,25
